film.title	year	imdb	format	languages	NTSC/PAL	duration	source	info	N.	NEW
¡Mátalo!	1970	tt0068024	DVD9	ITA/GER/ENG	PAL	1h29m15s	DVD	full DVD + extras	565	false
...4 ..3 ..2 ..1 ...morte	1967	tt0063859	DVD5	ITA/GER/ENG/FRE	PAL	1h30m37s	DVD + VHS	custom uncut mux	439	false
...e continuavano a mettere lo diavolo ne lo inferno	1973	tt0069661	DVD5	ITA	PAL	1h32m51s	VHS	none	14	false
...E divenne il più spietato bandito del sud	1967	tt0061775	DVD5	ITA	PAL	1h35m59s	DVD	custom uncut mux	485	false
...e si salvò solo l'aretino Pietro, con una mano avanti...	1972	tt0068153	DVD5	ITA	PAL	1h21m00s	VHS	none	19	false
...Se incontri Sartana prega per la tua morte	1968	tt0063568	DVD5	ITA	PAL	1h31m54s	DVD	custom mux	519	false
"""The Robot"" International Scopitones Volume 2"	19??	noIMDb	DVD5	ENG/FRE/ESP	NTSC	0h51m45s	16mm	custom collection of International Scopitones	731	false
1000 dollari sul nero	1966	tt0060697	DVD5	ITA	PAL	1h40m00s	DVD	full DVD + extras	680	false
12 donne d'oro	1966	tt0059364	DVD5	ITA	PAL	1h27m55s	DVD + Super8	custom mux	0	false
24 ore... non un minuto di più	1973	tt0178538	DVD5	ITA	PAL	1h00m40s	Telecine	one missing reel	586	false
3 colpi di Winchester per Ringo	1966	tt0058861	DVD9	ITA/GER/ENG	PAL	1h27m13s	DVD	full Koch Media DVD	331	false
3 Dev Adam (Turkish Avengers)	1973	tt0181947	DVD5	TUR/ENGsub	PAL	---	DVD	none	111	false
5 bambole per la luna d'agosto	1970	tt0065553	DVD5	ITA	PAL	1h17m27s	DVD	full DVD + extras	407	false
5 per l'inferno	1969	tt0062807	DVD9	ITA/GER/ENG	PAL	1h32m05s	DVD	full DVD + extras	568	false
7 assassine dalle labbra di velluto	1969	tt0323610	DVD5	ITA	PAL	1h31m42s	DTT	none	0	false
7 donne d'oro contro due 07	1966	tt0196090	DVD5	ITA/ENG	PAL	1h29m30s	DTT	custom mux	545	false
7 per l'infinito contro i mostri spaziali	1970	tt0065852	DVD5	ITA	PAL	1h20m36s	DVD	none	25	false
7 uomini d'oro	1965	tt0059707	DVD5	ITA/ENG	NTSC	1h26m34s	DVD	full DVD	629	false
99 donne	1969	tt0063977	DVD5	ITA	PAL	1h32m12s	Telecine	none	0	false
A pugni nudi	1974	tt0071092	DVD5	ITA/ENGsub	PAL	1h31m37s	Telecine	none	514	false
A TV Dante	1989	tt0098428	DVD5	ENG	PAL	1h27m54s	DVD	full DVD + extras	767	false
Abbandonati nello spazio	1969	tt0064639	DVD5	ITA/ENGsub	PAL	2h03m41s	DVD	full DVD	398	false
Aç kartallar (Starving eagles; aka Turkish Bruce Lee)	1984	tt0441113	DVD5	TUR/ENGsub	PAL	1h14m42s	VHS	new VHS2DVD transfer	254	false
Acid – delirio dei sensi	1968	tt0062634	DVD5	ITA	PAL	1h32m23s	VHS	10mins ca. blank tape	0	false
Addio Alexandra	1969	tt0063986	DVD5	ITA	PAL	1h52m49s	Telecine	7mins ca. blank tape	234	false
Africa nuda, Africa violenta	1974	tt0071106	DVD5	ITA	PAL	1h13m21s	DTT	none	0	false
Afrika	1973	tt0071107	DVD5	ITA/ENGsub	PAL	1h28m23s	Telecine	none	278	false
After Last Season	2009	tt1196334	DVD5	ENG	NTSC	1h30m29s	DVD	full DVD + extras	750	false
Anatar	2023	tt17351870	DVD5	ITA	PAL	1h22m49s	DVD	full DVD + extras		false
Agente 3S3, massacro al sole	1966	tt0060075	DVD5	ITA	PAL	1h58m32s	DVD + Telecine	custom uncut mux	489	false
Agi Murad il diavolo bianco	1959	tt0052538	DVD9	ITA/FRE	PAL	1h28m12s	DVD	full DVD	493	false
AIDS – Il pericolo strisciante	1985	tt0300900	DVD5	ITA	PAL	1h27m14s	VHS	none	319	false
Al destino non chiedere quando	2011	tt4137222	DVD5	ITA	PAL	1h36m12s	DVD	full DVD	237	false
Al di là dell'odio	1972	tt0068184	DVD9	ITA/FREsub/ENGsub	PAL	1h17m28s	DVD	full DVD	297	false
Al filo del terror	1990	tt0284835	DVD5	ESP/ENGsub	NTSC	1h33m19s	VHS	none	0	false
Alex l'ariete	2000	tt0172109	DVD9	ITA	PAL	1h48m03s	DVD	full Cinekult DVD	0	false
Alice in Wonderland	1949	tt0042189	DVD5	ENG	PAL	---	VHS	none	60	false
Alien 2 - Sulla Terra	1980	tt0078749	DVD5	ITA/ENG	PAL	1h21m03s	DVD	full DVD + extras	643	false
Alien dagli abissi	1989	tt0096785	DVD5	ITA/ENG	NTSC	1h31m23s	DVD	full DVD + extras	572	false
Allegri becchini... arriva Trinità	1972	tt0244384	DVD5	ITA	PAL	1h25m04s	TV	none	256	false
Altin Çocuk	1966	tt0413678	DVD5	TUR/ENGsub	PAL	1h25m40s	DVD	full DVD + extras	720	false
Altin Çocuk (Turkish James Bond)	1966	tt0413678	DVD5	TUR/ENGsub	PAL	1h25m40s	DVD	full DVD + extras	0	false
Amazzoni – Donne d’amore e di guerra	1973	tt0069700	DVD5	ITA	PAL	1h25m50s	TV	none	376	false
American Magus	2002	tt0309277	DVD5	ENG	PAL	1h34m00s	VHS	none	730	false
American risciò	1990	tt0096806	DVD5	ITA	PAL	1h32m13s	VHS	none	246	false
Amiche andiamo alla festa	1972	tt0213448	DVD5	ITA	PAL	---	TV	none	107	false
Amici miei	1975	tt0072637	BD25	ITA	PAL	1h53m22s	Bluray	full BR	455	false
Amici miei	1975	tt0072637	DVD9	ITA	PAL	2h07m29s	DVD	full DVD	458	false
Amici miei - Atto II°	1982	tt0083549	BD25	ITA	PAL	2h07m00s	Bluray	full BR	456	false
Amici miei - Atto III°	1985	tt0088710	BD25	ITA	PAL	1h53m47s	Bluray	full BR	457	false
Amici miei in campagna	1972	tt0069418	DVD5	ITA	PAL	1h29m40s	VHS	none	193	false
Amico mio... frega tu che frego io	1973	tt0247165	DVD5	ITA	PAL	1h28m41s	DTT	none	594	false
Ammazzali tutti e torna solo	1968	tt0062659	DVD9	ITA/ENG/ESP	PAL	1h36m07s	DVD	full DVD + extras	0	false
Anche i cinesi mangiano fagioli	1974	tt1404408	DVD5	ITA	PAL	---	Telecine	none	86	false
Anno 2053 - la grande fuga	1991	tt0104981	DVD9	ITA 2.0/ITA 5.1	PAL	1h43m20s	DVD	full DVD	0	false
Anno zero - Guerra nello spazio	1977	tt0149677	DVD5	ITA	PAL	---	TV	none	90	false
Argos alla riscossa (Santo vs. las mujeres vampiro)	1962	tt0055408	DVD5	ITA	PAL	1h17m25s	TV	none	189	false
Argos alla riscossa (Santo vs. las mujeres vampiro)	1962	tt0055408	DVD5	ITA	PAL	1h26m22s + 1h15m35s	DVD	full DVD + extras	0	false
Argos il fantastico superman (Santo contra los asesinos de la mafia)	1970	tt0066085	DVD5	ITA	PAL	1h22m06s	VHS	none	190	false
Asi Kabaday (Turkish Wolverine)	1986	tt1694051	DVD5	TUR/ITAsub	PAL	---	VHS	TD#02	109	false
Aska susayanlar seks ve cinayet (Turkish Lo strano vizio della signora Wardh)	1972	tt1024894	DVD9	TUR/ENGsub	PAL	---	DVD	none	137	false
Ator il guerriero di ferro	1987	tt0093276	DVD9	ITA/ENG/ENGsub	PAL	1h23m53s	DVD	full DVD	298	false
Atragon	1963	tt0057215	DVD5	ITA/JAP	PAL	1h31m38s	DVD	[ASIA] full DVD	538	false
Attacco alla base spaziale US	1954	tt0047033	DVD5	ITA/ITAsub	PAL	1h19m06s	DVD	full DVD	328	false
Avventura sul Mar Nero	1972	tt0157336	DVD5	ITA	PAL	1h46m57s	TV	none	466	false
Baby love	1979	tt0078819	DVD5	ITA	PAL	1h30m59s	Telecine	none	13	false
Badi (Turkish E.T.)	1983	tt0334917	DVD5	TUR/ITAsub	PAL	---	TV	TD#01	108	false
Bajrangbali	1976	tt0157845	DVD9	HIN/ENGsub	NTSC	3h09m47s	DVD	[ASIA] full DVD	581	false
Bandidos	1967	tt0062706	DVD5	ITA/ENG	PAL	1h30m57s	DVD	full DVD + extras	521	false
Banditi a Milano	1968	tt0062707	DVD5	ITA/ENG	PAL	1h34m30s	Telecine	none	516	false
Baracca e burattini	1954	tt0046751	DVD5	ITA	PAL	1h14m52s	VHS	none	667	false
Baracca e burattini	1954	tt0046751	DVD5	ITA	PAL	1h15m21s	VHS	none	639	false
Barbagia (La società del malessere)	1969	tt0064069	DVD5	ITA/ENG	PAL	1h34m05s	VHS	custom uncut composite	625	false
Batouk - Africa che muore	1967	tt0218026	DVD5	ITA	PAL	1h10m19s	DVD	full DVD	755	false
Battaglie negli spazi stellari	1978	tt0075881	DVD5	ITA	PAL	---	VHS	none	85	false
Batwoman - L'invincibile superdonna	1968	tt0235608	DVD5	ITA	PAL	1h10m21s	DVD	none	117	false
Baytekin - fezada çarpisanlar (Turkish Flash Gordon)	1967	tt0336004	DVD5	TUR/ENGsub	PAL	---	TV	TD#02	109	false
Begotten	1990	tt0101420	DVD5	ENG	NTSC	1h12m06s	DVD	full DVD	460	false
Bersaglio altezza uomo	1978	tt0078848	DVD5	ITA/GER	PAL	1h26m08s	DTT	none	614	false
Bill il taciturno	1967	tt0061404	DVD5	ITA	PAL	1h33m18s	DTT	none	377	false
Black Killer	1971	tt0066835	DVD5	ITA/FRE	PAL	1h31m01s	DVD	none	404	false
